,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1024,0.525,0.825,9,-7.131,0,0.0372,0.0193,0.809,0.0962,0.196,127.963,audio_features,10BTymGGrWHokwzbHlkDl2,spotify:track:10BTymGGrWHokwzbHlkDl2,https://api.spotify.com/v1/tracks/10BTymGGrWHokwzbHlkDl2,https://api.spotify.com/v1/audio-analysis/10BTymGGrWHokwzbHlkDl2,187747,4
1025,0.667,0.695,7,-5.722,0,0.0334,0.00856,0.865,0.197,0.292,128.052,audio_features,54fgYLd9UtdPZVjx548Ver,spotify:track:54fgYLd9UtdPZVjx548Ver,https://api.spotify.com/v1/tracks/54fgYLd9UtdPZVjx548Ver,https://api.spotify.com/v1/audio-analysis/54fgYLd9UtdPZVjx548Ver,277547,4
1026,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,audio_features,0gmbgwZ8iqyMPmXefof8Yf,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,https://api.spotify.com/v1/tracks/0gmbgwZ8iqyMPmXefof8Yf,https://api.spotify.com/v1/audio-analysis/0gmbgwZ8iqyMPmXefof8Yf,223840,4
1027,0.508,0.832,11,-4.395,1,0.032,0.000372,0.0,0.0859,0.404,136.004,audio_features,2vBiZ7nBe0OqTZKWGP0s4K,spotify:track:2vBiZ7nBe0OqTZKWGP0s4K,https://api.spotify.com/v1/tracks/2vBiZ7nBe0OqTZKWGP0s4K,https://api.spotify.com/v1/audio-analysis/2vBiZ7nBe0OqTZKWGP0s4K,228107,4
1028,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,audio_features,0COqiPhxzoWICwFCS4eZcp,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893,4
1029,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,audio_features,6k8kLJFmWkHaTbSLUhJ3H0,spotify:track:6k8kLJFmWkHaTbSLUhJ3H0,https://api.spotify.com/v1/tracks/6k8kLJFmWkHaTbSLUhJ3H0,https://api.spotify.com/v1/audio-analysis/6k8kLJFmWkHaTbSLUhJ3H0,201080,4
1030,0.552,0.643,0,-7.36,1,0.0327,0.0364,0.74,0.105,0.212,120.012,audio_features,7jqzZyJJLrpkRFYGpkqSK6,spotify:track:7jqzZyJJLrpkRFYGpkqSK6,https://api.spotify.com/v1/tracks/7jqzZyJJLrpkRFYGpkqSK6,https://api.spotify.com/v1/audio-analysis/7jqzZyJJLrpkRFYGpkqSK6,272800,4
1031,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,audio_features,4aY0tZIaboefmkBEsjAovI,spotify:track:4aY0tZIaboefmkBEsjAovI,https://api.spotify.com/v1/tracks/4aY0tZIaboefmkBEsjAovI,https://api.spotify.com/v1/audio-analysis/4aY0tZIaboefmkBEsjAovI,222773,4
1032,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012,audio_features,4UzVcXufOhGUwF56HT7b8M,spotify:track:4UzVcXufOhGUwF56HT7b8M,https://api.spotify.com/v1/tracks/4UzVcXufOhGUwF56HT7b8M,https://api.spotify.com/v1/audio-analysis/4UzVcXufOhGUwF56HT7b8M,262533,4
1033,0.254,0.563,10,-7.495,0,0.0392,0.0895,0.00221,0.195,0.0979,111.685,audio_features,1wfZKFKzBDRl1wTK7TvYQe,spotify:track:1wfZKFKzBDRl1wTK7TvYQe,https://api.spotify.com/v1/tracks/1wfZKFKzBDRl1wTK7TvYQe,https://api.spotify.com/v1/audio-analysis/1wfZKFKzBDRl1wTK7TvYQe,319947,4
